,_id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
0,65c21d0abf85afd03721ab7b,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076
1,65c21d0abf85afd03721ab7c,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
2,65c21d0abf85afd03721ab7d,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256
3,65c21d0abf85afd03721ab7e,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
4,65c21d0abf85afd03721ab7f,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096
5,65c21d0abf85afd03721ab80,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
6,65c21d0abf85afd03721ab81,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
7,65c21d0abf85afd03721ab82,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788
8,65c21d0abf85afd03721ab83,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
9,65c21d0abf85afd03721ab84,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
10,65c21d0abf85afd03721ab85,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672
11,65c21d0abf85afd03721ab86,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592
12,65c21d0abf85afd03721ab87,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
13,65c21d0abf85afd03721ab88,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
14,65c21d0abf85afd03721ab89,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648
15,65c21d0abf85afd03721ab8a,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812
16,65c21d0abf85afd03721ab8b,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984
17,65c21d0abf85afd03721ab8c,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
18,65c21d0abf85afd03721ab8d,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032
19,65c21d0abf85afd03721ab8e,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
20,65c21d0abf85afd03721ab8f,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204
21,65c21d0abf85afd03721ab90,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
22,65c21d0abf85afd03721ab91,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182
