_id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
65c21d0abf85afd03721af72,322.5,148.6,0.0,185.8,8.5,951.0,709.5,28.0,52.426376088
65c21d0abf85afd03721ad6a,387.0,20.0,94.0,157.0,13.93,938.0,845.0,56.0,47.96684532
65c21d0abf85afd03721acc9,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
65c21d0abf85afd03721af1d,159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0,30.88163004
65c21d0abf85afd03721ae54,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,37.91428524
65c21d0abf85afd03721ad9a,255.0,0.0,0.0,192.0,0.0,889.8,945.0,7.0,10.222171176
65c21d0abf85afd03721af29,313.3,145.0,0.0,178.5,8.0,867.2,824.0,28.0,40.925226932
65c21d0abf85afd03721ae99,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0,55.15808
65c21d0abf85afd03721ae66,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3.0,26.0621928
65c21d0abf85afd03721acaf,277.05,0.0,97.39,160.6,11.83,973.9,875.61,100.0,55.6407132
65c21d0abf85afd03721acb2,295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,39.94134468
65c21d0abf85afd03721acb3,295.71,0.0,95.64,171.54,8.87,955.14,859.2,56.0,48.71837416
65c21d0abf85afd03721adcb,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28.0,37.437857324
65c21d0abf85afd03721aeb6,522.0,0.0,0.0,146.0,0.0,896.0,896.0,7.0,50.51101176
65c21d0abf85afd03721ac27,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
65c21d0abf85afd03721aedd,160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0,39.45181672
65c21d0abf85afd03721ac75,250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,24.91766264
65c21d0abf85afd03721ac26,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.19840936
65c21d0abf85afd03721ace2,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0,27.42046052
65c21d0abf85afd03721ae4e,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,27.82725136
65c21d0abf85afd03721ae1a,236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.416073836
65c21d0abf85afd03721ad0e,356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28.0,58.99846132
65c21d0abf85afd03721af0e,155.0,184.0,143.0,194.0,9.0,880.0,699.0,28.0,28.98557104
65c21d0abf85afd03721ad74,491.0,26.0,123.0,201.0,3.93,822.0,699.0,7.0,37.92118
65c21d0abf85afd03721af2e,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,23.835874796
65c21d0abf85afd03721ad3f,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56.0,48.9872698
65c21d0abf85afd03721aba1,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.229026048
65c21d0abf85afd03721ab84,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
65c21d0abf85afd03721aea9,310.0,0.0,0.0,192.0,0.0,970.0,850.0,360.0,38.11423328
65c21d0abf85afd03721ad93,393.0,0.0,0.0,192.0,0.0,940.6,785.6,28.0,39.604880392
65c21d0abf85afd03721ab95,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
65c21d0abf85afd03721ad0f,275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132
65c21d0abf85afd03721abd4,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.300132
65c21d0abf85afd03721aef2,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,40.679084
65c21d0abf85afd03721ab93,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
65c21d0abf85afd03721ae6a,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7.0,52.61391356
65c21d0abf85afd03721ae4d,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0,17.24379476
65c21d0abf85afd03721ac3a,233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
65c21d0abf85afd03721ac47,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3.0,12.47262084
65c21d0abf85afd03721acdf,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28.0,63.14221208
65c21d0abf85afd03721aba7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
65c21d0abf85afd03721ad1b,213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
65c21d0abf85afd03721ab98,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
65c21d0abf85afd03721abac,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
65c21d0abf85afd03721ada5,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.691094808
65c21d0abf85afd03721adf5,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228
65c21d0abf85afd03721ae90,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28.0,32.72253096
65c21d0abf85afd03721ac78,250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0,42.34761592
65c21d0abf85afd03721ad12,165.0,128.5,132.1,175.06,8.08,1005.8,746.6,3.0,19.41564416
65c21d0abf85afd03721acf7,475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.226508
65c21d0abf85afd03721af4a,277.0,116.8,91.0,190.6,7.0,946.5,665.6,28.0,43.57833058
65c21d0abf85afd03721abb0,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.185149412
65c21d0abf85afd03721ad89,359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,23.6391771458
65c21d0abf85afd03721aed7,314.0,0.0,113.0,170.0,10.0,925.0,783.0,28.0,38.45897128
65c21d0abf85afd03721ad40,190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896
65c21d0abf85afd03721adac,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.082437432
65c21d0abf85afd03721ae0c,108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
65c21d0abf85afd03721ad06,200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.24927068
65c21d0abf85afd03721ac80,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073
65c21d0abf85afd03721ac53,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
65c21d0abf85afd03721ac7c,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
65c21d0abf85afd03721acc0,252.31,0.0,98.75,146.25,14.17,987.76,889.01,14.0,42.29245784
65c21d0abf85afd03721adde,277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26343984
65c21d0abf85afd03721adb8,316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.70028788
65c21d0abf85afd03721acd5,213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28.0,40.14818748
65c21d0abf85afd03721abb4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
65c21d0abf85afd03721ac07,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.90037588
65c21d0abf85afd03721ad31,167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
65c21d0abf85afd03721abba,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112244
65c21d0abf85afd03721ac2d,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
65c21d0abf85afd03721aee7,146.0,230.0,0.0,202.0,3.0,827.0,872.0,28.0,33.0603742
65c21d0abf85afd03721ac36,222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.44751996
65c21d0abf85afd03721ab99,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
65c21d0abf85afd03721ace1,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100.0,66.9481196
